以下为热门股票
@open@ | @volume@ | @swing@
@high@ | @amount@ | @turnover@
@low@ | @totalShare@ | @pb@
@preClose@ | @cvs@ | @pe@
快速通道: | 历届高管成员 历届董事会成员 历届监事会成员 高管动态
姓 名 | 职 务 | 起始日期 | 终止日期
LEE Chee Kong | 总裁 | 2021-01-01 | --
Chin Wee Hua | 副总裁 | 2021-01-01 | --
Chin Wee Hua | 财务负责人 | 2025-05-29 | --
邓炜 | 董事会秘书 | 2010-04-13 | --
↑返回页顶↑
姓 名 | 职 务 | 起始日期 | 终止日期
第11届董事会 起始日期:2025-05-29 终止日期:2028-05-28
Joao Abecasis | 非独立董事 | 2025-05-29 | 2028-05-28
Joao Abecasis | 董事长 | 2025-05-29 | 2028-05-28
蔡泓汉 | 非独立董事 | 2025-05-29 | 2028-05-28
Andrew Emslie | 非独立董事 | 2025-05-29 | 2028-05-28
Lee Chee Kong | 非独立董事 | 2025-05-29 | 2028-05-28
Chin Wee Hua | 非独立董事 | 2025-05-29 | 2028-05-28
吕彦东 | 非独立董事 | 2025-05-29 | 2028-05-28
袁英红 | 独立董事 | 2025-05-29 | 2028-05-28
盛学军 | 独立董事 | 2025-05-29 | 2028-05-28
朱乾宇 | 独立董事 | 2025-05-29 | 2028-05-28
第10届董事会 起始日期:2022-05-26 终止日期:2025-05-28
Joao Abecasis | 董事 | 2022-12-02 | 2025-05-28
Joao Abecasis | 董事长 | 2022-12-02 | 2025-05-28
Leonard Cornelis Jorden Evers | 非独立董事 | 2022-05-25 | 2022-06-20
Leonard Cornelis Jorden Evers | 董事长 | 2022-05-26 | 2022-06-20
Gavin Brockett | 代理董事长 | 2022-06-20 | 2022-12-02
Gavin Brockett | 非独立董事 | 2022-05-25 | 2025-05-28
Ulrik Andersen | 非独立董事 | 2022-05-25 | 2022-11-15
Lee Chee Kong | 非独立董事 | 2022-05-25 | 2025-05-28
Chin Wee Hua | 非独立董事 | 2022-05-25 | 2025-05-28
吕彦东 | 非独立董事 | 2022-05-25 | 2025-05-28
Andrew Emslie | 董事 | 2022-07-13 | 2025-05-28
袁英红 | 独立董事 | 2022-05-25 | 2025-05-28
盛学军 | 独立董事 | 2022-05-25 | 2025-05-28
朱乾宇 | 独立董事 | 2022-05-25 | 2025-05-28
第9届董事会 起始日期:2022-02-16 终止日期:2022-05-26
Leonard Cornelis Jorden Evers | 董事 | 2021-09-03 | 2022-05-24
Leonard Cornelis Jorden Evers | 董事长 | 2022-02-16 | 2022-05-24
Roland Arthur Lawrence | 董事长 | 2019-05-07 | 2022-02-16
Roland Arthur Lawrence | 董事 | 2019-05-07 | 2022-02-16
LEE Chee Kong | 董事 | 2019-05-07 | 2022-05-24
Chin Wee Hua | 董事 | 2019-05-07 | 2022-05-24
连德坚 | 董事 | 2019-05-07 | 2020-12-22
吕彦东 | 董事 | 2019-05-07 | 2022-05-24
PhilipA.Hodges | 董事 | 2021-01-13 | 2021-06-09
Ulrik Andersen | 董事 | 2021-01-13 | 2022-05-24
Gavin Brockett | 董事 | 2022-03-14 | 2022-05-24
陈松 | 董事 | 2019-05-07 | 2020-12-22
龚永德 | 独立董事 | 2019-05-07 | 2022-05-24
戴志文 | 独立董事 | 2019-05-07 | 2022-05-24
李显君 | 独立董事 | 2019-05-07 | 2022-05-24
第8届董事会 起始日期:2016-05-06 终止日期:2019-05-06
Roland Arthur Lawrence | 董事 | 2017-08-15 | 2019-05-06
Roland Arthur Lawrence | 董事长 | 2019-01-02 | 2019-05-06
柯俊财 | 董事 | 2016-05-06 | 2018-12-31
柯俊财 | 董事长 | 2017-02-21 | 2018-12-31
黎启基 | 董事 | 2016-05-06 | 2017-02-21
黎启基 | 董事长 | 2016-05-06 | 2017-02-21
萧伟健 | 董事 | 2016-05-06 | 2017-07-18
方军涛 | 董事 | 2016-05-06 | 2016-11-15
吕彦东 | 董事 | 2016-05-06 | 2019-05-06
杨国睿 | 董事 | 2016-05-06 | 2017-04-12
陈松 | 董事 | 2016-12-09 | 2019-05-06
Chin Wee Hua | 董事 | 2017-03-09 | 2019-05-06
连德坚 | 董事 | 2017-05-04 | 2019-05-06
LEE Chee Kong | 董事 | 2019-01-23 | 2019-05-06
郭永清 | 独立董事 | 2016-05-06 | 2019-05-06
曲凯 | 独立董事 | 2016-05-06 | 2019-05-06
李显君 | 独立董事 | 2016-05-06 | 2019-05-06
第7届董事会 起始日期:2013-04-12 终止日期:2016-05-05
王克勤 | 董事 | 2013-04-12 | 2014-04-29
王克勤 | 董事长 | 2013-04-12 | 2014-04-29
黎启基 | 非独立董事 | 2014-04-29 | 2016-05-05
黎启基 | 董事长 | 2014-04-29 | 2016-05-05
曲凯 | 独立董事 | 2013-04-12 | 2016-05-05
郭永清 | 独立董事 | 2013-04-12 | 2016-05-05
陈重 | 独立董事 | 2013-04-12 | 2016-05-05
孙芳城 | 独立董事 | 2013-04-12 | 2016-05-05
Roy Enzo Bagattini | 董事 | 2013-04-12 | 2014-04-29
Roland Arthur Lawrence | 董事 | 2013-04-12 | 2016-05-05
方军涛 | 非独立董事 | 2014-04-29 | 2016-05-05
柯俊财 | 董事 | 2014-08-14 | 2016-05-05
刘明朗 | 董事 | 2013-04-12 | 2013-12-16
杨国睿 | 董事 | 2015-05-06 | 2016-05-05
汤澍浩 | 非独立董事 | 2014-04-29 | 2016-05-05
邹宁 | 董事 | 2013-04-12 | 2013-12-16
Gavin Brockett | 非独立董事 | 2014-04-29 | 2016-03-01
胡文军 | 董事 | 2013-04-12 | 2013-12-16
马儒超 | 董事 | 2013-04-12 | 2015-04-22
Peter Steenberg | 非独立董事 | 2014-04-29 | 2014-07-24
第6届董事会 起始日期:2010-04-13 终止日期:2013-04-11
陈世杰 | 董事 | 2010-04-13 | 2011-03-07
陈太夫 | 董事 | 2010-04-13 | 2011-03-07
刘明朗 | 董事 | 2010-04-13 | 2011-03-07
黄明贵 | 董事长 | 2010-04-13 | 2013-04-11
黄明贵 | 董事 | 2010-04-13 | 2013-04-11
张国林 | 独立董事 | 2010-04-13 | 2013-04-11
余剑锋 | 独立董事 | 2010-04-13 | 2013-04-11
陈重 | 独立董事 | 2010-04-13 | 2013-04-11
孙芳城 | 独立董事 | 2010-04-13 | 2013-04-11
Roy Enzo Bagattini | 董事 | 2010-04-13 | 2013-04-11
王克勤 | 董事 | 2010-04-13 | 2013-04-11
马儒超 | 董事 | 2011-04-15 | 2013-04-11
龚治荣 | 董事 | 2010-04-13 | 2013-04-11
谭坤一 | 董事 | 2011-04-15 | 2013-04-11
邹宁 | 董事 | 2011-04-15 | 2013-04-11
第5届董事会 起始日期:2009-01-21 终止日期:2010-04-12
Jesper B.Madsen | 董事 | 2009-01-21 | 2010-04-12
John Hunt | 董事 | 2007-05-22 | 2008-07-30
Patric Dougan | 董事 | 2007-05-22 | 2008-10-06
陈辉明 | 独立董事 | 2007-05-22 | 2010-04-12
陈锐 | 董事 | 2007-05-22 | 2007-10-16
陈世杰 | 董事 | 2007-05-22 | 2010-04-12
陈太夫 | 董事 | 2009-01-21 | 2010-04-12
邓炜 | 董事会秘书 | 2007-05-22 | 2010-04-12
